Feature,importance
Unnamed: 0+功率C**2,1
Unnamed: 0-功率C**2,0
Unnamed: 0/功率C**1/2,1
Unnamed: 0*功率C**1/2,1
Unnamed: 0+功率C**1/2,0
Unnamed: 0-功率C**1/2,0
Unnamed: 0/平均功率**2,3
Unnamed: 0*平均功率**2,0
Unnamed: 0+平均功率**2,0
Unnamed: 0-平均功率**2,0
Unnamed: 0/平均功率**1/2,0
Unnamed: 0*平均功率**1/2,5
Unnamed: 0+平均功率**1/2,0
Unnamed: 0-平均功率**1/2,0
Unnamed: 0/风速**2,7
Unnamed: 0*风速**2,6
Unnamed: 0+风速**2,0
Unnamed: 0-风速**2,0
Unnamed: 0/风速**1/2,3
Unnamed: 0*风速**1/2,3
Unnamed: 0+风速**1/2,0
Unnamed: 0-风速**1/2,0
Unnamed: 0/风向**2,2
Unnamed: 0*风向**2,8
Unnamed: 0+风向**2,5
Unnamed: 0-风向**2,4
Unnamed: 0/风向**1/2,3
Unnamed: 0*风向**1/2,1
Unnamed: 0+风向**1/2,0
Unnamed: 0-风向**1/2,0
ID/板温,0
ID*板温,0
ID+板温,0
ID-板温,0
ID/现场温度,1
ID*现场温度,1
ID+现场温度,0
ID-现场温度,0
ID/光照强度,2
ID*光照强度,0
ID+光照强度,0
ID-光照强度,0
ID/转换效率,1
ID*转换效率,4
ID+转换效率,0
ID-转换效率,0
ID/转换效率A,0
ID*转换效率A,2
ID+转换效率A,0
ID-转换效率A,0
ID/转换效率B,0
ID*转换效率B,1
ID+转换效率B,0
ID-转换效率B,0
ID/转换效率C,0
ID*转换效率C,4
ID+转换效率C,0
ID-转换效率C,0
ID/电压A,0
ID*电压A,0
ID+电压A,0
ID-电压A,0
ID/电压B,0
ID*电压B,0
ID+电压B,0
ID-电压B,0
ID/电压C,1
ID*电压C,1
ID+电压C,0
ID-电压C,1
ID/电流A,1
ID*电流A,1
ID+电流A,0
ID-电流A,0
ID/电流B,0
ID*电流B,0
ID+电流B,0
ID-电流B,0
ID/电流C,0
ID*电流C,3
ID+电流C,0
ID-电流C,0
ID/功率A,0
ID*功率A,1
ID+功率A,1
ID-功率A,0
ID/功率B,0
ID*功率B,0
ID+功率B,0
ID-功率B,0
ID/功率C,0
ID*功率C,0
ID+功率C,1
ID-功率C,0
ID/平均功率,0
ID*平均功率,0
ID+平均功率,0
ID-平均功率,0
ID/风速,3
ID*风速,1
ID+风速,0
ID-风速,0
ID/风向,1
ID*风向,4
ID+风向,0
ID-风向,1
ID/Unnamed: 0**2,0
ID*Unnamed: 0**2,0
ID+Unnamed: 0**2,0
ID-Unnamed: 0**2,0
ID/Unnamed: 0**1/2,0
ID*Unnamed: 0**1/2,0
ID+Unnamed: 0**1/2,0
ID-Unnamed: 0**1/2,0
ID/ID**2,0
ID*ID**2,0
ID+ID**2,0
ID-ID**2,0
ID/ID**1/2,0
ID*ID**1/2,0
ID+ID**1/2,0
ID-ID**1/2,0
ID/板温**2,0
ID*板温**2,1
ID+板温**2,0
ID-板温**2,3
ID/板温**1/2,7
ID*板温**1/2,0
ID+板温**1/2,0
