Feature,importance
转换效率B-功率B,6
电压C/风向,6
转换效率B-电流A,6
电压A/功率A,6
转换效率A+平均功率,6
转换效率B+电压B,6
电压A+功率B,6
电压C+风速,6
电压B+平均功率,6
电流C+风向,6
转换效率C-电流A,6
功率C+平均功率,6
电压C*风向,6
电流B+功率A,6
电压B*功率B,6
转换效率B+风向,6
转换效率A+电压A,6
功率B+平均功率,6
转换效率/功率A,6
板温-功率A,6
现场温度/光照强度,6
现场温度*转换效率A,6
转换效率A,6
现场温度/转换效率B,6
现场温度/电压B,6
现场温度*电流C,6
现场温度*功率A,6
Unnamed: 0/电压A,6
现场温度+平均功率,6
板温-电流A,6
光照强度*转换效率,6
光照强度+转换效率B,6
Unnamed: 0/转换效率B,6
转换效率*电流C,6
光照强度/转换效率C,6
电压B,6
Unnamed: 0/转换效率A,6
Unnamed: 0/转换效率,6
转换效率+电压B,6
板温/电流C,6
转换效率/电压C,6
板温-电压B,6
板温/转换效率C,6
ID*平均功率,6
ID+功率C,6
ID/功率C,6
Unnamed: 0-平均功率,6
板温-转换效率B,6
转换效率A-电流B,6
ID*板温,6
ID/电流A,5
光照强度*转换效率C,5
现场温度*功率B,5
ID*电流C,5
转换效率C/电压C,5
Unnamed: 0/平均功率,5
ID*功率A,5
Unnamed: 0*光照强度,5
光照强度/功率A,5
ID-功率C,5
现场温度*平均功率,5
板温+现场温度,5
电压A*电压C,5
现场温度/功率B,5
板温/转换效率,5
Unnamed: 0*电压C,5
板温/功率B,5
Unnamed: 0-电压B,5
板温/功率C,5
电压B-风速,5
电压A-风速,5
转换效率+电压C,5
电压A*功率C,5
电压B+功率A,5
电压C*电流B,5
现场温度/电流B,5
电压A*电流C,5
现场温度+电流B,5
现场温度/电流C,5
电流C+功率A,5
Unnamed: 0*功率B,5
现场温度/转换效率A,5
ID+转换效率B,5
转换效率B/平均功率,5
转换效率C,5
转换效率+平均功率,5
转换效率A-电流A,5
转换效率B/电流B,5
转换效率B*电压A,5
转换效率B+电压C,5
转换效率A+功率C,5
转换效率A*电压B,5
转换效率A-平均功率,5
转换效率B,4
电压B/功率B,4
板温+功率B,4
板温+功率C,4
电流C-功率B,4
板温*平均功率,4
现场温度-电流A,4
现场温度-转换效率B,4
转换效率B*电压C,4
板温*电流C,4
转换效率*功率C,4
电压A+电流B,4
转换效率B+电流A,4
转换效率*功率B,4
转换效率B+电流B,4
电压A*电压B,4
板温-电流C,4
板温*电流A,4
转换效率-平均功率,4
转换效率A-功率C,4
ID/转换效率C,4
ID*电压C,4
ID*电流A,4
电压C-风速,4
Unnamed: 0-功率B,4
电压C*平均功率,4
转换效率A/电流A,4
电压C-功率C,4
电压C+功率C,4
转换效率A+电压C,4
板温+电流A,4
ID+风向,4
转换效率A/电压C,4
电流B-风向,4
板温-转换效率,4
板温/转换效率B,4
转换效率A/电压B,4
现场温度,4
Unnamed: 0/电压C,4
转换效率*功率A,4
现场温度*功率C,4
转换效率B+电压A,4
转换效率C*电流B,4
光照强度+转换效率C,4
转换效率C-电流C,4
转换效率-电流A,4
光照强度-电压A,4
光照强度/电压B,4
转换效率B-电流C,4
转换效率C+电流A,4
转换效率+电流A,4
Unnamed: 0-光照强度,4
Unnamed: 0+光照强度,4
转换效率C*电压C,4
转换效率/电流A,4
电压C,4
转换效率C*电压B,4
转换效率C/电压A,4
转换效率*电压B,4
电流C-风向,4
Unnamed: 0*电压A,4
光照强度+转换效率,4
光照强度-转换效率,4
转换效率C+平均功率,4
转换效率-电流C,4
转换效率A+转换效率B,3
转换效率C+电压B,3
板温-光照强度,3
转换效率C+电压C,3
板温/电压A,3
转换效率C-功率C,3
板温-电压C,3
光照强度-电压C,3
板温+电流B,3
电压B*功率C,3
板温+电流C,3
转换效率+功率B,3
转换效率C/电流C,3
光照强度,3
板温*功率B,3
转换效率A*电压C,3
ID-平均功率,3
电压B+电流B,3
电压C+功率A,3
ID/转换效率,3
ID*光照强度,3
电流B-功率A,3
转换效率A+电流C,3
转换效率A*功率B,3
板温,3
转换效率+转换效率C,3
功率C,3
转换效率*转换效率B,3
ID-功率B,3
现场温度+功率C,3
光照强度/功率B,3
电压C/功率C,3
功率A+风速,3
电压C+功率B,3
电压C*功率B,3
转换效率C/电压B,3
电压B-电流B,3
转换效率B+电流C,3
转换效率A-电流C,3
转换效率-功率B,3
现场温度+光照强度,3
现场温度-光照强度,3
现场温度-转换效率,3
转换效率B/电压B,3
Unnamed: 0/电压B,3
电压A+电流C,3
功率B+风速,3
现场温度/电压A,3
转换效率*电流B,3
转换效率B/电压C,2
ID/功率B,2
转换效率C*电压A,2
现场温度-电压B,2
光照强度-风速,2
转换效率*转换效率A,2
电流A-平均功率,2
电压C+平均功率,2
现场温度/电压C,2
现场温度*电压C,2
转换效率C+功率B,2
ID-功率A,2
转换效率/电压B,2
现场温度/平均功率,2
ID+转换效率,2
ID/电压A,2
ID+电压A,2
ID-光照强度,2
Unnamed: 0+转换效率B,2
电流A+功率A,2
转换效率A+电流B,2
电流B-平均功率,2
转换效率*电压A,2
ID/电流B,2
ID/电流C,2
Unnamed: 0-电压A,2
现场温度*电流B,2
转换效率A-功率B,2
电压A,2
转换效率-电流B,2
现场温度-转换效率C,2
电压A+平均功率,2
Unnamed: 0-转换效率,2
ID-风向,2
电压A-电流A,2
电压B+功率C,2
板温-功率C,2
电压A+电压C,2
转换效率C+电流B,2
电压A+电流A,2
转换效率B/电压A,2
板温*功率A,2
现场温度+电流C,2
转换效率B+转换效率C,2
电压B-电流A,2
电压B-电流C,2
电压B+电流C,2
板温-功率B,2
Unnamed: 0*电压B,2
转换效率A*转换效率B,2
转换效率C+功率C,2
光照强度-转换效率A,2
转换效率B*电压B,2
Unnamed: 0+转换效率C,2
现场温度-功率B,2
转换效率A+电压B,2
电压C-电流A,2
板温-平均功率,2
转换效率B*电流A,2
转换效率B-功率C,2
平均功率-风速,2
板温*电压A,2
转换效率A+转换效率C,2
Unnamed: 0+电压A,1
电流B-功率C,1
ID/转换效率B,1
ID-转换效率,1
电流B+平均功率,1
电流C+功率C,1
电流B-功率B,1
Unnamed: 0-转换效率B,1
电流B+功率B,1
Unnamed: 0-转换效率A,1
转换效率,1
Unnamed: 0+转换效率A,1
电流B/功率B,1
电压B*电流B,1
电流A+平均功率,1
光照强度/电压A,1
转换效率C*功率A,1
转换效率C*功率B,1
转换效率C-功率B,1
转换效率C/功率C,1
光照强度-转换效率B,1
现场温度/功率C,1
电压A+电压B,1
电压A*电流A,1
电压A-电流B,1
现场温度*电压B,1
现场温度*电压A,1
功率C+风速,1
电压B*电压C,1
电压B+电流A,1
板温/电压C,1
光照强度-转换效率C,1
光照强度+电流A,1
电压C+电流B,1
光照强度-电流A,1
转换效率A+功率B,1
转换效率A*转换效率C,1
转换效率*平均功率,1
转换效率/平均功率,1
转换效率-功率C,1
转换效率+功率C,1
转换效率B-电流B,1
转换效率+电流C,1
转换效率+电流B,1
转换效率B*功率C,1
转换效率B+功率C,1
转换效率*转换效率C,1
光照强度+电流C,1
光照强度-电流B,1
光照强度+电流B,1
板温*电压B,1
电压B+电压C,1
ID/电压C,1
电流A+功率C,1
ID+电压C,1
ID/功率A,1
ID/平均功率,1
板温+光照强度,1
电流A-功率B,1
ID/电压B,1
ID+电压B,1
电压C-电流B,1
转换效率**1/2,0
电压B**2,0
功率C**2,0
功率C**1/2,0
平均功率**2,0
平均功率**1/2,0
风速**2,0
风速**1/2,0
转换效率C**2,0
电压A**1/2,0
电压A**2,0
转换效率A**2,0
电压B**1/2,0
转换效率B**2,0
转换效率C**1/2,0
转换效率**2,0
转换效率B**1/2,0
风向**2,0
功率A**1/2,0
光照强度**1/2,0
电流A**2,0
电流C**1/2,0
电流C**2,0
功率B**2,0
转换效率A**1/2,0
功率B-风速,0
电流B**1/2,0
电流B**2,0
电流A**1/2,0
功率C-风速,0
功率A**2,0
Unnamed: 0**2,0
功率B**1/2,0
Unnamed: 0**1/2,0
ID**2,0
ID**1/2,0
电压C**1/2,0
电压C**2,0
光照强度**2,0
平均功率+风速,0
Unnamed: 0,0
电流C-平均功率,0
Unnamed: 0+风速,0
ID+板温,0
ID-板温,0
ID+现场温度,0
ID-现场温度,0
ID+光照强度,0
ID/转换效率A,0
ID+转换效率A,0
ID-转换效率A,0
